question|answer
Apa itu type data?|Sebuah tipe data yang berisi kumpulan data
Apa itu tipe data dasar?|Sebuah tipe data yang berisi data dasar
Apa itu tipe data non-dasar?|Sebuah tipe data yang berisi data non-dasar
Apa itu tipe data built-in?|Sebuah tipe data yang sudah ada
Apa itu tipe data non-built-in?|Sebuah tipe data yang dibuat sendiri
Apa saja tipe data dasar pada go-lang?|Integer; string; float; boolean; complex
Apa type data dengan bilangan bulat?|Integer
Apa type data dengan bilangan desimal?|Float
Apa type data yang hanya memiliki dua nilai?|Boolean
Apa type data yang memiliki bilangan real dan imajiner?|Complex
Apa type data yang berisi karakter atau teks?|String
Apa type data yang berisi kumpulan karakter?|Slice
Apa type data yang berisi kumpulan data dengan key dan value?|Map
Apa type data yang berisi kumpulan data dengan tipe data yang sama?|Array
Apa type data yang berisi bilangan bulat positif dan negatif?|Integer
Apa type data yang berisi bilangan bulat positif saja?|Uint
Apa type data yang berisi bilangan desimal positif dan negatif?|Float
Type data Integer dibagi menjadi apa saja?|Int8; Int16; Int32; Int64
Type data Uint dibagi menjadi apa saja?|Uint8; Uint16; Uint32; Uint64
Type data Float dibagi menjadi apa saja?|Float32; Float64
Type data Complex dibagi menjadi apa saja?|Complex64; Complex128
Uint digunakan untuk bilangan bulat apa?|Positif
Int digunakan untuk bilangan bulat apa?|Negatif dan Positif
Float digunakan untuk bilangan desimal apa?|Positif dan Negatif
Apa penanda untuk tipe data string?|menggunakan tanda kutip(" "/ ' '/ ` `)
Apa penanda untuk type data integer?|tidak menggunakan tanda kutip dan hanya berisi angka
Apa penanda untuk type data float?|tidak menggunakan tanda kutip dan berisi angka dengan koma
Apa penanda untuk type data boolean?|berisi true atau false
Apa itu type data Interface?|Sebuah tipe data yang berisi kumpulan method
Apa itu type data Struct?|Sebuah tipe data yang berisi kumpulan field
Apa itu type data Pointer?|Sebuah tipe data yang berisi alamat memori
Apa itu type data Range?|Sebuah tipe data yang berisi kumpulan data dengan index
Apa itu type data Slice?|Sebuah tipe data yang berisi kumpulan data dengan panjang dinamis
Apa itu type data Map?|Sebuah tipe data yang berisi kumpulan data dengan key dan value
Apa itu type data Array?|Sebuah tipe data yang berisi kumpulan data dengan tipe data yang sama
Berapa jumlah tipe data dasar pada go-lang?|sebelas
Berapa panjang tipe data string?|Tidak terbatas
Berapa panjang tipe data int8?|8 bit
Berapa rentang tipe data int8?|-128 sampai 127
Berapa panjang tipe data int16?|16 bit
Berapa rentang tipe data int16?|-32768 sampai 32767
Berapa panjang tipe data int32?|32 bit
Berapa rentang tipe data int32?|-2147483648 sampai 2147483647
Berapa panjang tipe data int64?|64 bit
Berapa rentang tipe data int64?|-9223372036854775808 sampai 9223372036854775807
Berapa panjang tipe data uint8?|8 bit
Berapa rentang tipe data uint8?|0 sampai 255
Berapa panjang tipe data uint16?|16 bit
Berapa rentang tipe data uint16?|0 sampai 65535
Berapa panjang tipe data uint32?|32 bit
Berapa rentang tipe data uint32?|0 sampai 4294967295
Berapa panjang tipe data uint64?|64 bit
Berapa rentang tipe data uint64?|0 sampai 18446744073709551615
Apa type data untuk waktu pada go-lang?|Time
Apa type data untuk tanggal pada go-lang?|Date
Apa type data untuk waktu dan tanggal pada go-lang?|DateTime
Apa itu Int pada go-lang?|Tipe data integer
Apa itu Uint pada go-lang?|Tipe data integer positif
Apa itu Float pada go-lang?|Tipe data desimal
Apa itu Complex pada go-lang?|Tipe data bilangan real dan imajiner
Apa itu String pada go-lang?|Tipe data karakter atau teks
Apa itu bool pada go-lang?|Tipe data boolean
Apa itu Any pada go-lang?|Tipe data apapun
Any bernilai apa pada go-lang?|Interface{}
Bagaimana jika ingin membuat tipe data sendiri pada go-lang?|Menggunakan keyword type
Apa itu tipe data kustom pada go-lang?|Tipe data yang dibuat sendiri
Apa itu tipe data alias pada go-lang?|Tipe data yang memiliki nama lain
Apa itu tipe data anonim pada go-lang?|Tipe data yang tidak memiliki nama
Apa itu tipe data built-in pada go-lang?|Tipe data yang sudah ada
Apa itu tipe data non-built-in pada go-lang?|Tipe data yang dibuat sendiri
Interface{} memiliki type alias apa?|Any
Apa type data untuk nilai error pada go-lang?|Error
Apa itu type data error pada go-lang?|Sebuah tipe data yang berisi pesan error
Apa yang terjadi jika type data error tidak dihandle?|Program akan berhenti
Apa yang terjadi jika type string dibuat tanpa tanda kutip?|akan Error
Apa yang terjadi jika type integer dibuat dengan tanda kutip?|akan dianggap String
Apa yang terjadi jika type float dibuat dengan tanda kutip?|akan dianggap String
Apa yang terjadi jika type boolean dibuat dengan tanda kutip?|akan dianggap String
Apa perbedaan type data int dan uint?|int memiliki nilai negatif dan positif; uint hanya memiliki nilai positif
